,YEAR,POINT_ID,POINT_LAT,POINT_LON,POINT_ELEVATION,TO_DATE,FROM_DATE,POINT_BALANCE
0,1995,hn14aa,64.8850131,-18.77387068,1450.4,19950520,19940917,2.07
1,1995,hn14aa,64.8850131,-18.77387068,1450.4,19950916,19950520,-1.43
2,1995,hn14aa,64.8850131,-18.77387068,1450.4,19950916,19940917,0.64
3,1996,hn14aa,64.8850131,-18.77387068,1449.8,19960511,19950916,1.83
4,1996,hn14aa,64.8850131,-18.77387068,1449.8,19961003,19960511,-1.3
5,1996,hn14aa,64.8850131,-18.77387068,1449.8,19961003,19950916,0.53
6,1999,hn14aa,64.8850131,-18.77387068,1448.3,19990515,19981004,
7,1999,hn14aa,64.8850131,-18.77387068,1448.3,19990923,19990515,
8,1999,hn14aa,64.8850131,-18.77387068,1448.3,19990923,19981004,1.04
9,2000,hn14aa,64.8850131,-18.77387068,1447.3,20000513,19990923,2.49
10,2000,hn14aa,64.8850131,-18.77387068,1447.3,20000923,20000513,-1.11
11,2000,hn14aa,64.8850131,-18.77387068,1447.3,20000923,19990923,1.38
12,2001,hn14aa,64.8850131,-18.77387068,1446.3,20010511,20000923,1.63
13,2001,hn14aa,64.8850131,-18.77387068,1446.3,20010928,20010511,-0.84
14,2001,hn14aa,64.8850131,-18.77387068,1446.3,20010928,20000923,0.79
15,2003,hn14aa,64.8850131,-18.77387068,1444.4,20030514,20021005,1.96
16,2003,hn14aa,64.8850131,-18.77387068,1444.4,20030924,20030514,-1.72
17,2003,hn14aa,64.8850131,-18.77387068,1444.4,20030924,20021005,0.25
18,1996,hn15aa,64.86952952,-18.77489585,1503.3,19960511,19950916,2.27
19,1996,hn15aa,64.86952952,-18.77489585,1503.3,19961003,19960511,-1.21
20,1996,hn15aa,64.86952952,-18.77489585,1503.3,19961003,19950916,1.06
21,1998,hn15aa,64.86952952,-18.77489585,1502.4,19980515,19970926,1.85
22,1998,hn15aa,64.86952952,-18.77489585,1502.4,19981004,19980515,-0.65
23,1998,hn15aa,64.86952952,-18.77489585,1502.4,19981004,19970926,1.2
24,1999,hn15aa,64.86952952,-18.77489585,1502.0,19990515,19981004,1.96
25,1999,hn15aa,64.86952952,-18.77489585,1502.0,19990923,19990515,-0.42
26,1999,hn15aa,64.86952952,-18.77489585,1502.0,19990923,19981004,1.54
27,2000,hn15aa,64.86952952,-18.77489585,1501.4,20000513,19990923,1.73
28,2000,hn15aa,64.86952952,-18.77489585,1501.4,20000923,20000513,-1.2
29,2000,hn15aa,64.86952952,-18.77489585,1501.4,20000923,19990923,0.52
30,2001,hn15aa,64.86952952,-18.77489585,1500.9,20010511,20000923,2.39
31,2001,hn15aa,64.86952952,-18.77489585,1500.9,20010928,20010511,-0.47
32,2001,hn15aa,64.86952952,-18.77489585,1500.9,20010928,20000923,1.92
33,2017,blt11,64.68772613,-18.95453043,1077.0,20170501,20161016,1.85
34,2017,blt11,64.68772613,-18.95453043,1077.0,20171005,20170501,-2.97
35,2017,blt11,64.68772613,-18.95453043,1077.0,20171005,20161016,-1.12
36,2018,blt11,64.68772613,-18.95453043,1078.0,20180428,20171005,1.41
37,2018,blt11,64.68772613,-18.95453043,1078.0,20181008,20180428,-2.09
38,2018,blt11,64.68772613,-18.95453043,1078.0,20181008,20171005,-0.68
39,2019,blt11,64.68772613,-18.95453043,1076.0,20190430,20181008,1.31
40,2019,blt11,64.68772613,-18.95453043,1076.0,20191105,20190430,-4.18
41,2019,blt11,64.68772613,-18.95453043,1076.0,20191105,20181008,-2.87
42,2020,blt11,64.68772613,-18.95453043,1076.0,20200428,20191105,0.95
43,2020,blt11,64.68772613,-18.95453043,1076.0,20201010,20200428,-2.82
44,2020,blt11,64.68772613,-18.95453043,1076.0,20201010,20191105,-1.87
45,2021,blt11,64.68772613,-18.95453043,1076.0,20210429,20201010,0.89
46,2021,blt11,64.68772613,-18.95453043,1076.0,20211021,20210429,-3.48
47,2021,blt11,64.68772613,-18.95453043,1076.0,20211021,20201010,-2.59
48,2022,blt11,64.68772613,-18.95453043,1076.0,20220426,20211021,1.52
49,2022,blt11,64.68772613,-18.95453043,1076.0,20221017,20220426,-3.12
50,2022,blt11,64.68772613,-18.95453043,1076.0,20221017,20211021,-1.6
51,2017,blt8,64.66270705,-18.95494239,826.0,20170501,20161016,1.02
52,2017,blt8,64.66270705,-18.95494239,826.0,20171005,20170501,-4.64
53,2017,blt8,64.66270705,-18.95494239,826.0,20171005,20161016,-3.62
54,2018,blt8,64.66270705,-18.95494239,821.0,20180428,20171005,0.79
55,2018,blt8,64.66270705,-18.95494239,821.0,20181008,20180428,-3.42
56,2018,blt8,64.66270705,-18.95494239,821.0,20181008,20171005,-2.63
